Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 3 P;-0.07249816;0.1812578;1.248035;0;0;0
Cube 4 P;0.2458019;0.4772578;1.074535;0;270;0
World;0.1794018;-0.4847422;1.441135;0;0;0
Cube 1 G;-0.238408;-0.1388973;1.473778;0;0;0
Cube 2 G;0.365592;-0.07869729;1.395778;0;0;0
Cube 3 G;-0.07520796;0.08190268;1.229778;0;0;0
Cube 4 G;0.2399921;0.3671027;1.068178;0;0;0
Cube 1 P;-0.357408;-0.08489728;1.473778;0;0;0
Cube 2 P;0.374292;-0.04699728;1.265678;0;270;0
Cube 3 P;-0.07030796;0.1791027;1.237678;0;0;0
Cube 4 P;0.2479921;0.4751027;1.064178;0;270;0
World;0.181592;-0.4868973;1.430778;0;0;0
Cube 1 G;-0.2352202;-0.1436802;1.43995;0;0;0
Cube 2 G;0.3687797;-0.08348021;1.36195;0;0;0
Cube 3 G;-0.07202025;0.07711977;1.19595;0;0;0
Cube 4 G;0.2431798;0.3623198;1.03435;0;0;0
Cube 1 P;-0.3542203;-0.08968019;1.43995;0;0;0
Cube 2 P;0.3774797;-0.05178019;1.23185;0;270;0
Cube 3 P;-0.06712024;0.1743198;1.20385;0;0;0
Cube 4 P;0.2511798;0.4703198;1.03035;0;270;0
World;0.1847797;-0.4916802;1.39695;0;0;0
Cube 1 G;-0.2292561;-0.1551065;1.409533;0;0;0
Cube 2 G;0.3747439;-0.09490654;1.331533;0;0;0
Cube 3 G;-0.06605607;0.06569344;1.165533;0;0;0
Cube 4 G;0.249144;0.3508934;1.003933;0;0;0
Cube 1 P;-0.3482561;-0.1011065;1.409533;0;0;0
Cube 2 P;0.3834439;-0.06320652;1.201433;0;270;0
Cube 3 P;-0.06115606;0.1628935;1.173433;0;0;0
Cube 4 P;0.257144;0.4588935;0.9999327;0;270;0
World;0.1907439;-0.5031065;1.366533;0;0;0
Cube 1 G;-0.2236286;-0.1675906;1.391599;0;0;0
Cube 2 G;0.3803714;-0.1073906;1.313599;0;0;0
Cube 3 G;-0.06042862;0.05320936;1.147599;0;0;0
Cube 4 G;0.2547714;0.3384094;0.9859989;0;0;0
Cube 1 P;-0.3426287;-0.1135906;1.391599;0;0;0
Cube 2 P;0.3890714;-0.0756906;1.183499;0;270;0
Cube 3 P;-0.05552861;0.1504094;1.155499;0;0;0
Cube 4 P;0.2627714;0.4464094;0.9819989;0;270;0
World;0.1963714;-0.5155906;1.348599;0;0;0
Cube 1 G;-0.2216861;-0.18674;1.367769;0;0;0
Cube 2 G;0.3823138;-0.12654;1.289769;0;0;0
Cube 3 G;-0.05848615;0.03406;1.123769;0;0;0
Cube 4 G;0.2567139;0.31926;0.9621691;0;0;0
Cube 1 P;-0.3406862;-0.13274;1.367769;0;0;0
Cube 2 P;0.3910139;-0.09483996;1.159669;0;270;0
Cube 3 P;-0.05358614;0.13126;1.131669;0;0;0
Cube 4 P;0.2647139;0.42726;0.958169;0;270;0
World;0.1983138;-0.53474;1.324769;0;0;0
Cube 1 G;-0.2162983;-0.198285;1.351214;0;0;0
Cube 2 G;0.3877017;-0.138085;1.273214;0;0;0
Cube 3 G;-0.05309832;0.02251494;1.107214;0;0;0
Cube 4 G;0.2621017;0.3077149;0.9456143;0;0;0
Cube 1 P;-0.3352984;-0.144285;1.351214;0;0;0
Cube 2 P;0.3964017;-0.106385;1.143114;0;270;0
Cube 3 P;-0.04819831;0.119715;1.115114;0;0;0
Cube 4 P;0.2701017;0.415715;0.9416143;0;270;0
World;0.2037017;-0.546285;1.308214;0;0;0
Cube 1 G;-0.2148658;-0.2101756;1.340875;0;0;0
Cube 2 G;0.3891341;-0.1499756;1.262875;0;0;0
Cube 3 G;-0.05166586;0.01062435;1.096875;0;0;0
Cube 4 G;0.2635342;0.2958243;0.9352748;0;0;0
Cube 1 P;-0.3338659;-0.1561756;1.340875;0;0;0
Cube 2 P;0.3978341;-0.1182756;1.132775;0;270;0
Cube 3 P;-0.04676585;0.1078244;1.104775;0;0;0
Cube 4 P;0.2715342;0.4038244;0.9312748;0;270;0
World;0.2051341;-0.5581756;1.297875;0;0;0
Cube 1 G;-0.2054179;-0.2205995;1.318186;0;0;0
Cube 2 G;0.3985821;-0.1603995;1.240186;0;0;0
Cube 3 G;-0.04221791;0.0002004504;1.074186;0;0;0
Cube 4 G;0.2729822;0.2854005;0.9125861;0;0;0
Cube 1 P;-0.3244179;-0.1665995;1.318186;0;0;0
Cube 2 P;0.4072821;-0.1286995;1.110086;0;270;0
Cube 3 P;-0.0373179;0.09740049;1.082086;0;0;0
Cube 4 P;0.2809821;0.3934005;0.9085861;0;270;0
World;0.2145821;-0.5685995;1.275186;0;0;0
Cube 1 G;-0.1667438;-0.1232748;1.28621;0;0;0
Cube 2 G;0.4372562;-0.06307477;1.20821;0;0;0
Cube 3 G;-0.003543824;0.09752521;1.04221;0;0;0
Cube 4 G;0.3116562;0.3827252;0.8806096;0;0;0
Cube 1 P;-0.2857439;-0.06927475;1.28621;0;0;0
Cube 2 P;0.4459562;-0.03137475;1.07811;0;270;0
Cube 3 P;0.001356184;0.1947252;1.05011;0;0;0
Cube 4 P;0.3196562;0.4907252;0.8766096;0;270;0
World;0.2532562;-0.4712748;1.24321;0;0;0
Cube 1 G;-0.1043454;-0.1156219;1.261954;0;0;0
Cube 2 G;0.4996546;-0.05542186;1.183954;0;0;0
Cube 3 G;0.05885461;0.1051781;1.017954;0;0;0
Cube 4 G;0.3740547;0.3903781;0.8563536;0;0;0
Cube 1 P;-0.2233454;-0.06162184;1.261954;0;0;0
Cube 2 P;0.5083546;-0.02372184;1.053854;0;270;0
Cube 3 P;0.06375462;0.2023782;1.025854;0;0;0
Cube 4 P;0.3820547;0.4983782;0.8523536;0;270;0
World;0.3156546;-0.4636219;1.218954;0;0;0
Cube 1 G;-0.04199377;-0.2592402;1.206924;0;0;0
Cube 2 G;0.5620062;-0.1990401;1.128924;0;0;0
Cube 3 G;0.1212062;-0.03844017;0.9629245;0;0;0
Cube 4 G;0.4364063;0.2467598;0.8013245;0;0;0
Cube 1 P;-0.1609938;-0.2052401;1.206924;0;0;0
Cube 2 P;0.5707062;-0.1673401;0.9988245;0;270;0
Cube 3 P;0.1261062;0.05875987;0.9708245;0;0;0
Cube 4 P;0.4444063;0.3547599;0.7973245;0;270;0
World;0.3780062;-0.6072401;1.163924;0;0;0
Cube 1 G;-0.05106592;-0.4420956;1.155565;0;0;0
Cube 2 G;0.5529341;-0.3818956;1.077565;0;0;0
Cube 3 G;0.1121341;-0.2212956;0.9115653;0;0;0
Cube 4 G;0.4273341;0.0639044;0.7499653;0;0;0
Cube 1 P;-0.170066;-0.3880956;1.155565;0;0;0
Cube 2 P;0.5616341;-0.3501956;0.9474653;0;270;0
Cube 3 P;0.1170341;-0.1240956;0.9194653;0;0;0
Cube 4 P;0.4353341;0.1719044;0.7459653;0;270;0
World;0.3689341;-0.7900956;1.112565;0;0;0
Cube 1 G;-0.07195136;-0.5904628;1.157703;0;0;0
Cube 2 G;0.5320486;-0.5302628;1.079703;0;0;0
Cube 3 G;0.09124863;-0.3696628;0.9137033;0;0;0
Cube 4 G;0.4064487;-0.08446282;0.7521033;0;0;0
Cube 1 P;-0.1909514;-0.5364628;1.157703;0;0;0
Cube 2 P;0.5407486;-0.4985628;0.9496033;0;270;0
Cube 3 P;0.09614864;-0.2724628;0.9216033;0;0;0
Cube 4 P;0.4144487;0.02353722;0.7481033;0;270;0
World;0.3480486;-0.9384628;1.114703;0;0;0
Cube 1 G;-0.07964146;-0.6766348;1.176364;0;0;0
Cube 2 G;0.5243585;-0.6164348;1.098364;0;0;0
Cube 3 G;0.08355853;-0.4558349;0.9323641;0;0;0
Cube 4 G;0.3987586;-0.1706349;0.7707641;0;0;0
Cube 1 P;-0.1986415;-0.6226348;1.176364;0;0;0
Cube 2 P;0.5330585;-0.5847348;0.9682641;0;270;0
Cube 3 P;0.08845854;-0.3586348;0.9402641;0;0;0
Cube 4 P;0.4067586;-0.06263483;0.7667641;0;270;0
World;0.3403585;-1.024635;1.133364;0;0;0
Cube 1 G;-0.08802202;-0.7310659;1.166892;0;0;0
Cube 2 G;0.515978;-0.6708659;1.088892;0;0;0
Cube 3 G;0.07517797;-0.5102659;0.9228919;0;0;0
Cube 4 G;0.390378;-0.2250659;0.7612919;0;0;0
Cube 1 P;-0.2070221;-0.6770659;1.166892;0;0;0
Cube 2 P;0.524678;-0.6391659;0.9587919;0;270;0
Cube 3 P;0.08007798;-0.4130659;0.9307919;0;0;0
Cube 4 P;0.398378;-0.1170659;0.7572919;0;270;0
World;0.331978;-1.079066;1.123892;0;0;0
Cube 1 G;-0.08862269;-0.7285104;1.161073;0;0;0
Cube 2 G;0.5153773;-0.6683104;1.083073;0;0;0
Cube 3 G;0.0745773;-0.5077105;0.9170735;0;0;0
Cube 4 G;0.3897774;-0.2225105;0.7554735;0;0;0
Cube 1 P;-0.2076227;-0.6745104;1.161073;0;0;0
Cube 2 P;0.5240773;-0.6366104;0.9529735;0;270;0
Cube 3 P;0.07947731;-0.4105104;0.9249735;0;0;0
Cube 4 P;0.3977773;-0.1145104;0.7514735;0;270;0
World;0.3313773;-1.07651;1.118073;0;0;0
Cube 1 G;-0.08853021;-0.7288502;1.163399;0;0;0
Cube 2 G;0.5154698;-0.6686502;1.085399;0;0;0
Cube 3 G;0.07466978;-0.5080502;0.9193985;0;0;0
Cube 4 G;0.3898698;-0.2228502;0.7577986;0;0;0
